time_s,event_type,name,signpost_id,message,process,thread
37.342196166,End,WebSlotReset,0x14b,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
37.342282208,Begin,FeedRenderCells,0x14c,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
37.34230125,End,FeedRenderCells,0x14c,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
37.342302833,End,WebPoolReconcile,0x14a,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
37.477195166,Event,WebNavigationCommit,OS_SIGNPOST_ID_EXCLUSIVE,item=blank,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
37.48569175,Begin,WebPoolReconcile,0x14d,current=game_0019 eligible=game_0019,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
37.48578275,Begin,WebLoadToReady,0x14e,item=game_0019 role=current slot=1,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
37.486037416,Begin,FeedRenderCells,0x14f,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
37.486209916,End,FeedRenderCells,0x14f,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
37.486211791,End,WebPoolReconcile,0x14d,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
37.494768416,Begin,FeedRenderCells,0x150,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
37.494804541,End,FeedRenderCells,0x150,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
37.711171375,Event,WebNavigationCommit,OS_SIGNPOST_ID_EXCLUSIVE,item=game_0019,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.100022166,Begin,FeedDrag,0x151,item=game_0019,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.100042375,Event,FeedEligibility,OS_SIGNPOST_ID_EXCLUSIVE,item=none,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.100324333,Begin,WebPoolReconcile,0x152,current=game_0019 eligible=none,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.100398,Begin,FeedRenderCells,0x153,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.100425208,End,FeedRenderCells,0x153,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.100426833,End,WebPoolReconcile,0x152,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.191760791,End,FeedDrag,0x151,drag ended,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.191765041,Begin,FeedDeceleration,0x154,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.524917041,End,FeedDeceleration,0x154,settled,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.524920708,Begin,FeedSettle,0x155,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.524930416,Event,FeedCurrentItem,OS_SIGNPOST_ID_EXCLUSIVE,index=16 item=game_0020,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.524932375,Begin,FeedAssignWindow,0x156,item=game_0020,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.525016208,Begin,FeedRenderCells,0x157,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.525046541,End,FeedRenderCells,0x157,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.525052916,End,FeedAssignWindow,0x156,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.525071333,Event,FeedEligibility,OS_SIGNPOST_ID_EXCLUSIVE,item=game_0020,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.525161833,End,FeedSettle,0x155,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.525327208,Begin,WebPoolReconcile,0x158,current=game_0020 eligible=game_0020,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.525337958,Begin,WebSlotReset,0x159,item=game_0017,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.525445458,End,WebLoadToReady,0x140,reset or cancelled,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.525551541,End,WebSlotReset,0x159,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.52564125,Begin,FeedRenderCells,0x15a,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.525660666,End,FeedRenderCells,0x15a,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.52566225,End,WebPoolReconcile,0x158,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.806693833,Event,WebNavigationCommit,OS_SIGNPOST_ID_EXCLUSIVE,item=blank,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.814966791,Begin,WebPoolReconcile,0x15b,current=game_0020 eligible=game_0020,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.815063916,Begin,WebLoadToReady,0x15c,item=game_0020 role=current slot=2,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.815296041,Begin,FeedRenderCells,0x15d,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.815468291,End,FeedRenderCells,0x15d,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.815470375,End,WebPoolReconcile,0x15b,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.834048083,Begin,FeedRenderCells,0x15e,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.83408225,End,FeedRenderCells,0x15e,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
38.992168916,Event,WebNavigationCommit,OS_SIGNPOST_ID_EXCLUSIVE,item=game_0020,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.216484083,Event,WebNavigationCommit,OS_SIGNPOST_ID_EXCLUSIVE,item=blank,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.225981916,Begin,WebPoolReconcile,0x15f,current=game_0020 eligible=game_0020,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.226080375,Begin,WebLoadToReady,0x160,item=game_0021 role=adjacent slot=0,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.226336083,Begin,FeedRenderCells,0x161,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.226364083,End,FeedRenderCells,0x161,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.226365958,End,WebPoolReconcile,0x15f,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.235101333,Begin,FeedRenderCells,0x162,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.235129,End,FeedRenderCells,0x162,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.400347916,Begin,FeedDrag,0x163,item=game_0020,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.400367291,Event,FeedEligibility,OS_SIGNPOST_ID_EXCLUSIVE,item=none,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.400633208,Begin,WebPoolReconcile,0x164,current=game_0020 eligible=none,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.40071,Begin,FeedRenderCells,0x165,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.40073625,End,FeedRenderCells,0x165,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.400738041,End,WebPoolReconcile,0x164,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.474145958,Event,WebNavigationCommit,OS_SIGNPOST_ID_EXCLUSIVE,item=game_0021,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.4835065,End,FeedDrag,0x163,drag ended,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.483509541,Begin,FeedDeceleration,0x166,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.825178625,End,FeedDeceleration,0x166,settled,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.825182083,Begin,FeedSettle,0x167,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.825191458,Event,FeedCurrentItem,OS_SIGNPOST_ID_EXCLUSIVE,index=17 item=game_0021,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.825193083,Begin,FeedAssignWindow,0x168,item=game_0021,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.82526075,Begin,FeedRenderCells,0x169,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.825294041,End,FeedRenderCells,0x169,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.825300166,End,FeedAssignWindow,0x168,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.825316583,Event,FeedEligibility,OS_SIGNPOST_ID_EXCLUSIVE,item=game_0021,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.825393,End,FeedSettle,0x167,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.825584875,Begin,WebPoolReconcile,0x16a,current=game_0021 eligible=game_0021,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.825592458,Begin,WebSlotReset,0x16b,item=game_0019,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.825664333,End,WebLoadToReady,0x14e,reset or cancelled,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.825743375,End,WebSlotReset,0x16b,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.82580975,Begin,FeedRenderCells,0x16c,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.825820875,End,FeedRenderCells,0x16c,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
39.82582225,End,WebPoolReconcile,0x16a,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
40.164352125,Event,WebNavigationCommit,OS_SIGNPOST_ID_EXCLUSIVE,item=blank,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
40.171721958,Begin,WebPoolReconcile,0x16d,current=game_0021 eligible=game_0021,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
40.171814375,Begin,WebLoadToReady,0x16e,item=game_0022 role=adjacent slot=1,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
40.172038666,Begin,FeedRenderCells,0x16f,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
40.172065791,End,FeedRenderCells,0x16f,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
40.172067541,End,WebPoolReconcile,0x16d,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
40.185803208,Begin,FeedRenderCells,0x170,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
40.185829,End,FeedRenderCells,0x170,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
40.491264208,Event,WebNavigationCommit,OS_SIGNPOST_ID_EXCLUSIVE,item=game_0022,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
40.917138666,Begin,FeedDrag,0x171,item=game_0021,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
40.917157583,Event,FeedEligibility,OS_SIGNPOST_ID_EXCLUSIVE,item=none,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
40.91740825,Begin,WebPoolReconcile,0x172,current=game_0021 eligible=none,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
40.917476541,Begin,FeedRenderCells,0x173,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
40.917500208,End,FeedRenderCells,0x173,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
40.917501791,End,WebPoolReconcile,0x172,completed,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
41.01721,End,FeedDrag,0x171,drag ended,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
41.017214666,Begin,FeedDeceleration,0x174,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
41.3421415,End,FeedDeceleration,0x174,settled,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
41.342144208,Begin,FeedSettle,0x175,,Sekai (9781),"Main Thread (0xed277) (Sekai, pid: 9781)"
